2023-05-03 09:17:44 status unpacked libffi-dev:amd64 3.3-6
2023-05-03 09:17:44 install libpng16-16:amd64 <none> 1.6.37-3
2023-05-03 09:17:44 status half-installed libpng16-16:amd64 1.6.37-3
2023-05-03 09:17:44 status unpacked libpng16-16:amd64 1.6.37-3
2023-05-03 09:17:44 install libfreetype6:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:44 status half-installed libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:44 status unpacked libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:44 install libfontconfig1:amd64 <none> 2.13.1-4.2
2023-05-03 09:17:44 status half-installed libfontconfig1:amd64 2.13.1-4.2
2023-05-03 09:17:44 status unpacked libfontconfig1:amd64 2.13.1-4.2
2023-05-03 09:17:44 install zlib1g-dev:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
2023-05-03 09:17:44 status half-installed zlib1g-dev:amd64 1:1.2.11.dfsg-2+deb11u2
2023-05-03 09:17:44 status unpacked zlib1g-dev:amd64 1:1.2.11.dfsg-2+deb11u2
2023-05-03 09:17:44 install libpng-dev:amd64 <none> 1.6.37-3
2023-05-03 09:17:44 status half-installed libpng-dev:amd64 1.6.37-3
2023-05-03 09:17:44 status unpacked libpng-dev:amd64 1.6.37-3
2023-05-03 09:17:44 install libfreetype-dev:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:44 status half-installed libfreetype-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:44 status unpacked libfreetype-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:45 install libfreetype6-dev:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:45 status half-installed libfreetype6-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:45 status unpacked libfreetype6-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-05-03 09:17:45 install uuid-dev:amd64 <none> 2.36.1-8+deb11u1
2023-05-03 09:17:45 status half-installed uuid-dev:amd64 2.36.1-8+deb11u1
2023-05-03 09:17:45 status unpacked uuid-dev:amd64 2.36.1-8+deb11u1
2023-05-03 09:17:45 install libglib2.0-0:amd64 <none> 2.66.8-1
2023-05-03 09:17:45 status half-installed libglib2.0-0:amd64 2.66.8-1
2023-05-03 09:17:45 status unpacked libglib2.0-0:amd64 2.66.8-1
2023-05-03 09:17:45 install pkg-config:amd64 <none> 0.29.2-1
2023-05-03 09:17:45 status half-installed pkg-config:amd64 0.29.2-1
2023-05-03 09:17:45 status unpacked pkg-config:amd64 0.29.2-1
2023-05-03 09:17:45 install libfontconfig-dev:amd64 <none> 2.13.1-4.2
2023-05-03 09:17:45 status half-installed libfontconfig-dev:amd64 2.13.1-4.2
2023-05-03 09:17:45 status unpacked libfontconfig-dev:amd64 2.13.1-4.2
2023-05-03 09:17:45 install libfontconfig1-dev:amd64 <none> 2.13.1-4.2
2023-05-03 09:17:45 status half-installed libfontconfig1-dev:amd64 2.13.1-4.2
2023-05-03 09:17:45 status unpacked libfontconfig1-dev:amd64 2.13.1-4.2
2023-05-03 09:17:45 install libgdbm-dev:amd64 <none> 1.19-2
2023-05-03 09:17:45 status half-installed libgdbm-dev:amd64 1.19-2
2023-05-03 09:17:45 status unpacked libgdbm-dev:amd64 1.19-2
2023-05-03 09:17:45 install liblzma-dev:amd64 <none> 5.2.5-2.1~deb11u1
2023-05-03 09:17:45 status half-installed liblzma-dev:amd64 5.2.5-2.1~deb11u1
2023-05-03 09:17:45 status unpacked liblzma-dev:amd64 5.2.5-2.1~deb11u1
2023-05-03 09:17:45 install libncurses6:amd64 <none> 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 status half-installed libncurses6:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 status unpacked libncurses6:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 install libncurses-dev:amd64 <none> 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 status half-installed libncurses-dev:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 status unpacked libncurses-dev:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 install libncursesw5-dev:amd64 <none> 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 status half-installed libncursesw5-dev:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 status unpacked libncursesw5-dev:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:45 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2023-05-03 09:17:45 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2023-05-03 09:17:45 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2023-05-03 09:17:45 install libreadline-dev:amd64 <none> 8.1-1
